operation,num_reads,t_per_read_s
Pickled df,100,0.0001733064651
Pickled df,500,0.006803355694
Pickled df,1000,0.004291586876
Pickled df,5000,0.007342551994
Pickled df,10000,0.004739603949
CSV,100,0.002005403042
CSV,500,0.001675086498
CSV,1000,0.005101196527
CSV,5000,0.009731417656
CSV,10000,0.008426157141
HDF store,100,0.0038666749
HDF store,500,0.003481794834
HDF store,1000,0.003272246599
HDF store,5000,0.003609093857
HDF store,10000,0.003884047198
df HDF,100,0.005034265518
df HDF,500,0.00487869978
df HDF,1000,0.004744274139
df HDF,5000,0.004768769312
df HDF,10000,0.004982853127
df HDF store,100,0.003707592487
df HDF store,500,0.003551163673
df HDF store,1000,0.003304823875
df HDF store,5000,0.003547851706
df HDF store,10000,0.003713181734
